Wavenumber,Filter response
11725,0.991909
11726,0.992118
11727,0.992326
11728,0.992662
11729,0.993031
11730,0.993399
11731,0.993732
11732,0.994007
11733,0.994282
11734,0.994557
11735,0.994824
11736,0.995091
11737,0.995358
11738,0.995625
11739,0.995891
11740,0.996158
11741,0.996421
11742,0.996671
11743,0.99692
11744,0.99717
11745,0.997382
11746,0.997584
11747,0.997796
11748,0.998027
11749,0.998258
11750,0.998489
11751,0.998498
11752,0.998673
11753,0.998849
11754,0.999026
11755,0.999202
11756,0.999378
11757,0.999554
11758,0.99971
11759,0.999806
11760,0.999903
11761,1
11762,0.999587
11763,0.999284
11764,0.998981
11765,0.998323
11766,0.997258
11767,0.996193
11768,0.995102
11769,0.993504
11770,0.991906
11771,0.990308
11772,0.988688
11773,0.987058
11774,0.985428
11775,0.983815
11776,0.982248
11777,0.980682
11778,0.979116
11779,0.978236
11780,0.977451
11781,0.976665
11782,0.975414
11783,0.973692
11784,0.972326
11785,0.97333
11786,0.97206
11787,0.970789
11788,0.969519
11789,0.967934
11790,0.966223
11791,0.964512
11792,0.962801
11793,0.961185
11794,0.960099
11795,0.959013
11796,0.956815
11797,0.954536
11798,0.952256
11799,0.949936
11800,0.94758
11801,0.945225
11802,0.942806
11803,0.940025
11804,0.937244
11805,0.934464
11806,0.931118
11807,0.927568
11808,0.924019
11809,0.920503
11810,0.917048
11811,0.913594
11812,0.91014
11813,0.90575
11814,0.90122
11815,0.89669
11816,0.89216
11817,0.88763
11818,0.8831
11819,0.878543
11820,0.873598
11821,0.868652
11822,0.863707
11823,0.85453
11824,0.844109
11825,0.837845
11826,0.833692
11827,0.82954
11828,0.825387
11829,0.821234
11830,0.814426
11831,0.807595
11832,0.800764
11833,0.793933
11834,0.787102
11835,0.780271
11836,0.772932
11837,0.765494
11838,0.758057
11839,0.750619
11840,0.742869
11841,0.735048
11842,0.727228
11843,0.719163
11844,0.710752
11845,0.702341
11846,0.693933
11847,0.685598
11848,0.677264
11849,0.668929
11850,0.660323
11851,0.651566
11852,0.642809
11853,0.634053
11854,0.625296
11855,0.616539
11856,0.607783
11857,0.599791
11858,0.592044
11859,0.584297
11860,0.57655
11861,0.568803
11862,0.561057
11863,0.545345
11864,0.536508
11865,0.527672
11866,0.518835
11867,0.510219
11868,0.501712
11869,0.493205
11870,0.484652
11871,0.475982
11872,0.467311
11873,0.458641
11874,0.450083
11875,0.441539
11876,0.432995
11877,0.42445
11878,0.415906
11879,0.407361
11880,0.402063
11881,0.394445
11882,0.386827
11883,0.37921
11884,0.371592
11885,0.363975
11886,0.356357
11887,0.348918
11888,0.341838
11889,0.334758
11890,0.327678
11891,0.320539
11892,0.314119
11893,0.307698
11894,0.301277
11895,0.294856
11896,0.288435
11897,0.282093
11898,0.276121
11899,0.270149
11900,0.264176
11901,0.258481
11902,0.252873
11903,0.247264
11904,0.241799
11905,0.236602
11906,0.231406
11907,0.226209
11908,0.221258
11909,0.216316
11910,0.211374
11911,0.206663
11912,0.202105
11913,0.197547
11914,0.193048
11915,0.188819
11916,0.18459
11917,0.180361
11918,0.17633
11919,0.172352
11920,0.168374
11921,0.164559
11922,0.160993
11923,0.157426
11924,0.153862
11925,0.150835
11926,0.147809
11927,0.144782
11928,0.14162
11929,0.137967
11930,0.134314
11931,0.130853
11932,0.128102
11933,0.125351
11934,0.1226
11935,0.119971
11936,0.117367
11937,0.114763
11938,0.112159
11939,0.109555
11940,0.106951
11941,0.104357
11942,0.102182
11943,0.100006
11944,0.097831
11945,0.095656
11946,0.093481
11947,0.091305
11948,0.089215
11949,0.08736
11950,0.085506
11951,0.083652
11952,0.082022
11953,0.080353
11954,0.078407
11955,0.076461
11956,0.074514
11957,0.072578
11958,0.071041
11959,0.069496
11960,0.067952
11961,0.066407
11962,0.065019
11963,0.063706
11964,0.062393
11965,0.061081
11966,0.059768
11967,0.058455
11968,0.057142
11969,0.055989
11970,0.054854
11971,0.05372
11972,0.05261
11973,0.051522
11974,0.050434
11975,0.049356
11976,0.048344
11977,0.047332
11978,0.046319
11979,0.045389
11980,0.044488
11981,0.043588
11982,0.042692
11983,0.041806
11984,0.04092
11985,0.04008
11986,0.039389
11987,0.038637
11988,0.037884
11989,0.037131
11990,0.036379
11991,0.035626
11992,0.034886
11993,0.034211
11994,0.033537
11995,0.032863
11996,0.032166
11997,0.031408
11998,0.030649
11999,0.02989
12000,0.029131
12001,0.028737
12002,0.028724
12003,0.028182
12004,0.027636
12005,0.02709
12006,0.026599
12007,0.026142
12008,0.025686
12009,0.025229
12010,0.024771
12011,0.024312
12012,0.023854
12013,0.02342
12014,0.022992
12015,0.022564
12016,0.022154
12017,0.021766
12018,0.021379
12019,0.020992
12020,0.020629
12021,0.020278
12022,0.019929
12023,0.01958
12024,0.019231
12025,0.018882
12026,0.018541
12027,0.018222
12028,0.017903
12029,0.017585
12030,0.017331
12031,0.017018
12032,0.016706
12033,0.016413
12034,0.016143
12035,0.015872
12036,0.015602
12037,0.01534
12038,0.015078
12039,0.014815
12040,0.014502
12041,0.014163
12042,0.013823
12043,0.013484
12044,0.01337
12045,0.013315
12046,0.013259
12047,0.013051
12048,0.012824
12049,0.01261
12050,0.012422
12051,0.012235
12052,0.012047
12053,0.01186
12054,0.011682
12055,0.011504
12056,0.011328
12057,0.011155
12058,0.010983
12059,0.01081
12060,0.010678
12061,0.010587
12062,0.0104
12063,0.010152
12064,0.01001
12065,0.009872
12066,0.009734
12067,0.009596
12068,0.009458
12069,0.00932
12070,0.009186
12071,0.008953
12072,0.008721
12073,0.008611
12074,0.008542
12075,0.008473
12076,0.008405
12077,0.008318
12078,0.008201
12079,0.008083
12080,0.007965
12081,0.007874
12082,0.007784
12083,0.007693
12084,0.007596
12085,0.007494
12086,0.007392
12087,0.007293
12088,0.007201
12089,0.007109
12090,0.007017
12091,0.006934
12092,0.006852
12093,0.006771
12094,0.006688
12095,0.006604
12096,0.006521
12097,0.006437
12098,0.006346
12099,0.006254
12100,0.00617
12101,0.006092
12102,0.006015
12103,0.005937
12104,0.005862
12105,0.005799
12106,0.005736
12107,0.005672
12108,0.005591
12109,0.005507
12110,0.005423
12111,0.005365
12112,0.005334
12113,0.005302
12114,0.005268
12115,0.0052
12116,0.005132
12117,0.005063
12118,0.004999
12119,0.004938
12120,0.004876
12121,0.004813
12122,0.004769
12123,0.004734
12124,0.004699
12125,0.004574
12126,0.00453
12127,0.004487
12128,0.004443
12129,0.004399
12130,0.004356
12131,0.004312
12132,0.004269
12133,0.004225
12134,0.004182
12135,0.004138
12136,0.004094
12137,0.004051
12138,0.004012
12139,0.003977
12140,0.003942
12141,0.003907
12142,0.003871
12143,0.003836
12144,0.003801
12145,0.003765
12146,0.00373
12147,0.003695
12148,0.00366
12149,0.003624
12150,0.003589
12151,0.003558
12152,0.003528
12153,0.003498
12154,0.003467
12155,0.003437
12156,0.003407
12157,0.003377
12158,0.003347
12159,0.003317
12160,0.003286
12161,0.003256
12162,0.003226
12163,0.003196
12164,0.003166
12165,0.003136
12166,0.003107
12167,0.003081
12168,0.003054
12169,0.003028
12170,0.003001
12171,0.002975
12172,0.002949
12173,0.002922
12174,0.002896
12175,0.00287
