wave,RFR_value
15407,0.927671
15408,0.927878
15409,0.928085
15410,0.928291
15411,0.928498
15412,0.928705
15413,0.928912
15414,0.929118
15415,0.929325
15416,0.929532
15417,0.929739
15418,0.929946
15419,0.930152
15420,0.930359
15421,0.930566
15422,0.930773
15423,0.93098
15424,0.931186
15425,0.931393
15426,0.9316
15427,0.931807
15428,0.932014
15429,0.93222
15430,0.932427
15431,0.932634
15432,0.932841
15433,0.933048
15434,0.933254
15435,0.933461
15436,0.933668
15437,0.933875
15438,0.934081
15439,0.934288
15440,0.934495
15441,0.934702
15442,0.934909
15443,0.935115
15444,0.935322
15445,0.935529
15446,0.935736
15447,0.935943
15448,0.936149
15449,0.936356
15450,0.936563
15451,0.93677
15452,0.936979
15453,0.937218
15454,0.937485
15455,0.937783
15456,0.938115
15457,0.938472
15458,0.938846
15459,0.939242
15460,0.939656
15461,0.940082
15462,0.940522
15463,0.940975
15464,0.941439
15465,0.94191
15466,0.942381
15467,0.942851
15468,0.943322
15469,0.943793
15470,0.944264
15471,0.944734
15472,0.945205
15473,0.945676
15474,0.946147
15475,0.946617
15476,0.947088
15477,0.947559
15478,0.948029
15479,0.9485
15480,0.948971
15481,0.949442
15482,0.949912
15483,0.950383
15484,0.950854
15485,0.951325
15486,0.951795
15487,0.952266
15488,0.952737
15489,0.953208
15490,0.953678
15491,0.954149
15492,0.95462
15493,0.955091
15494,0.955561
15495,0.956032
15496,0.956503
15497,0.956974
15498,0.957444
15499,0.957915
15500,0.958386
15501,0.958857
15502,0.959327
15503,0.959798
15504,0.960269
15505,0.960739
15506,0.96121
15507,0.961681
15508,0.962152
15509,0.962622
15510,0.963093
15511,0.963564
15512,0.964035
15513,0.964505
15514,0.964976
15515,0.965447
15516,0.965918
15517,0.966388
15518,0.966859
15519,0.96733
15520,0.9678
15521,0.968271
15522,0.968742
15523,0.969213
15524,0.969684
15525,0.970154
15526,0.970625
15527,0.971096
15528,0.971566
15529,0.972037
15530,0.972508
15531,0.972979
15532,0.973449
15533,0.97392
15534,0.974391
15535,0.974862
15536,0.975332
15537,0.975803
15538,0.976274
15539,0.976745
15540,0.977215
15541,0.977686
15542,0.978157
15543,0.978627
15544,0.979098
15545,0.979569
15546,0.98004
15547,0.98051
15548,0.980981
15549,0.981428
15550,0.981849
15551,0.982242
15552,0.982607
15553,0.982939
15554,0.983251
15555,0.983538
15556,0.983802
15557,0.984048
15558,0.984273
15559,0.984478
15560,0.984665
15561,0.98484
15562,0.985014
15563,0.985189
15564,0.985363
15565,0.985537
15566,0.985712
15567,0.985886
15568,0.98606
15569,0.986235
15570,0.986409
15571,0.986583
15572,0.986758
15573,0.986932
15574,0.987106
15575,0.987281
15576,0.987455
15577,0.987629
15578,0.987804
15579,0.987978
15580,0.988152
15581,0.988327
15582,0.988501
15583,0.988676
15584,0.98885
15585,0.989024
15586,0.989198
15587,0.989373
15588,0.989547
15589,0.989722
15590,0.989896
15591,0.99007
15592,0.990245
15593,0.990419
15594,0.990593
15595,0.990768
15596,0.990942
15597,0.991116
15598,0.991291
15599,0.991465
15600,0.991639
15601,0.991814
15602,0.991988
15603,0.992162
15604,0.992337
15605,0.992511
15606,0.992685
15607,0.99286
15608,0.993034
15609,0.993209
15610,0.993383
15611,0.993557
15612,0.993731
15613,0.993906
15614,0.99408
15615,0.994255
15616,0.994429
15617,0.994603
15618,0.994778
15619,0.994952
15620,0.995126
15621,0.995301
15622,0.995475
15623,0.995649
15624,0.995824
15625,0.995998
15626,0.996172
15627,0.996347
15628,0.996521
15629,0.996695
15630,0.99687
15631,0.997044
15632,0.997219
15633,0.997393
15634,0.997567
15635,0.997741
15636,0.997916
15637,0.99809
15638,0.998265
15639,0.998439
15640,0.998613
15641,0.998788
15642,0.998962
15643,0.999136
15644,0.999311
15645,0.999485
15646,0.999642
15647,0.999768
15648,0.999865
15649,0.999935
15650,0.999979
15651,1
15652,0.999997
15653,0.999967
15654,0.999909
15655,0.999825
15656,0.999711
15657,0.999572
15658,0.999414
15659,0.99925
15660,0.999086
15661,0.998922
15662,0.998758
15663,0.998594
15664,0.99843
15665,0.998266
15666,0.998102
15667,0.997938
15668,0.997775
15669,0.997611
15670,0.997447
15671,0.997283
15672,0.997119
15673,0.996955
15674,0.996791
15675,0.996627
15676,0.996463
15677,0.996299
15678,0.996135
15679,0.995972
15680,0.995808
15681,0.995644
15682,0.99548
15683,0.995316
15684,0.995152
15685,0.994988
15686,0.994824
15687,0.99466
15688,0.994496
15689,0.994332
15690,0.994169
15691,0.994005
15692,0.993841
15693,0.993677
15694,0.993513
15695,0.993349
15696,0.993185
15697,0.993021
15698,0.992857
15699,0.992693
15700,0.992529
15701,0.992365
15702,0.992201
15703,0.992038
15704,0.991874
15705,0.99171
15706,0.991546
15707,0.991382
15708,0.991218
15709,0.991054
15710,0.99089
15711,0.990726
15712,0.990562
15713,0.990398
15714,0.990235
15715,0.990071
15716,0.989907
